,title,price,link,brand
0,free oven,0,https://charlottesville.craigslist.org/app/d/white-hall-free-oven/7829873847.html,missing
1,kenmore chest freezer,200,https://charlottesville.craigslist.org/app/d/scottsville-kenmore-chest-freezer/7829144838.html,kenmore
2,kenmore refrigerator freezer,100,https://charlottesville.craigslist.org/app/d/scottsville-kenmore-refrigerator-freezer/7829145512.html,kenmore
3,commercial/restaurant grade vulcan gas stove,4000,https://charlottesville.craigslist.org/app/d/pratts-commercial-restaurant-grade/7829653875.html,vulcan
4,kenmore humidifier,20,https://charlottesville.craigslist.org/app/d/ivy-kenmore-humidifier/7829564404.html,kenmore
5,electric stove small 20 inch,200,https://charlottesville.craigslist.org/app/d/dillwyn-electric-stove-small-20-inch/7829407221.html,missing
6,kenmore electric dryer,150,https://charlottesville.craigslist.org/app/d/charlottesville-kenmore-electric-dryer/7828813748.html,kenmore
7,ge new stainless steel dishwasher,275,https://charlottesville.craigslist.org/app/d/charlottesville-ge-new-stainless-steel/7828813698.html,ge
8,black electric portable heater,90,https://charlottesville.craigslist.org/app/d/greenwood-black-electric-portable-heater/7824864505.html,missing
9,hotpoint chest freezer 6.9 cf,70,https://charlottesville.craigslist.org/app/d/charlottesville-hotpoint-chest-freezer/7826732016.html,missing
10,twilight-ii-c indoor/outdoor gas fireplace,2500,https://charlottesville.craigslist.org/app/d/charlottesville-twilight-ii-indoor/7822690890.html,missing
11,air fryer,60,https://charlottesville.craigslist.org/app/d/charlottesville-air-fryer/7822498844.html,missing
12,older ge profile washer for sale- works great,50,https://charlottesville.craigslist.org/app/d/barboursville-older-ge-profile-washer/7828366617.html,ge
13,washer for sale,99,https://charlottesville.craigslist.org/app/d/stanardsville-washer-for-sale/7828286570.html,missing
14,gas furnace and hot water tank,4000,https://charlottesville.craigslist.org/app/d/waynesboro-gas-furnace-and-hot-water/7827981846.html,missing
15,gas furnace and hot water tank,4000,https://charlottesville.craigslist.org/app/d/waynesboro-gas-furnace-and-hot-water/7827981320.html,missing
16,as-new compact air fryer,45,https://charlottesville.craigslist.org/app/d/charlottesville-as-new-compact-air-fryer/7827914209.html,missing
17,new electrolux/frigidaire rack assembly #wci-530449147,30,https://charlottesville.craigslist.org/app/d/henrico-new-electrolux-frigidaire-rack/7827808416.html,missing
18,gas furnace and hot water tank,4000,https://charlottesville.craigslist.org/app/d/waynesboro-gas-furnace-and-hot-water/7827485244.html,missing
19,gas furnace and hot water tank,4000,https://charlottesville.craigslist.org/app/d/waynesboro-gas-furnace-and-hot-water/7827443981.html,missing
20,gas furnace and hot water tank,4000,https://charlottesville.craigslist.org/app/d/waynesboro-gas-furnace-and-hot-water/7827442555.html,missing
21,new electrolux electric dryer,415,https://charlottesville.craigslist.org/app/d/charlottesville-new-electrolux-electric/7827383985.html,missing
22,whole house vacuum unit,150,https://charlottesville.craigslist.org/app/d/charlottesville-whole-house-vacuum-unit/7821299427.html,missing
23,kitchen appliances and vacuums,1,https://charlottesville.craigslist.org/app/d/culpeper-kitchen-appliances-and-vacuums/7819570350.html,missing
24,infrared and halogen heater,60,https://charlottesville.craigslist.org/app/d/louisa-infrared-and-halogen-heater/7826998824.html,missing
25,new rinnai v53den natural gas hot water heater,295,https://charlottesville.craigslist.org/app/d/charlottesville-new-rinnai-v53den/7826988565.html,missing
26,new gas dryer,325,https://charlottesville.craigslist.org/app/d/charlottesville-new-gas-dryer/7826987990.html,missing
27,samsung 4 door fridge,850,https://charlottesville.craigslist.org/app/d/ivy-samsung-door-fridge/7826909835.html,missing
28,ice maker,40,https://charlottesville.craigslist.org/app/d/charlottesville-ice-maker/7826903030.html,missing
29,isomac venus espresso machine,400,https://charlottesville.craigslist.org/app/d/charlottesville-isomac-venus-espresso/7826830648.html,missing
30,"stainless steel sink, faucet , drain, water lines",50,https://charlottesville.craigslist.org/app/d/charlottesville-stainless-steel-sink/7826824916.html,missing
31,cuisinart coffee maker,40,https://charlottesville.craigslist.org/app/d/palmyra-cuisinart-coffee-maker/7826767792.html,cuisinart
32,singer  sewing machine,500,https://charlottesville.craigslist.org/app/d/orange-singer-sewing-machine/7826663181.html,missing
33,new elite gourmet crock pot slow cooker,25,https://charlottesville.craigslist.org/app/d/charlottesville-new-elite-gourmet-crock/7818717841.html,missing
34,hisense 10000-btu doe (115 volts) gray vented wi-fi enabled portable a,350,https://charlottesville.craigslist.org/app/d/charlottesville-hisense-btu-doe-115/7826052841.html,missing
35,1950's bengal wood and propane cookstove,250,https://charlottesville.craigslist.org/app/d/afton-1950s-bengal-wood-and-propane/7825578715.html,missing
36,zoeller sump pump,50,https://charlottesville.craigslist.org/app/d/quinque-zoeller-sump-pump/7822981576.html,missing
37,ge washing machine/needs repair,75,https://charlottesville.craigslist.org/app/d/ruckersville-ge-washing-machine-needs/7825382998.html,ge
38,blender,25,https://charlottesville.craigslist.org/app/d/charlottesville-blender/7825268872.html,missing
39,heat pump,500,https://charlottesville.craigslist.org/app/d/quinque-heat-pump/7825140668.html,missing
40,led desk lamp,10,https://charlottesville.craigslist.org/app/d/charlottesville-led-desk-lamp/7819424898.html,missing
41,everki onyx 17 inch premium laptop backpack,150,https://charlottesville.craigslist.org/app/d/charlottesville-everki-onyx-17-inch/7824535914.html,missing
42,whole house air purifier,100,https://charlottesville.craigslist.org/app/d/troy-whole-house-air-purifier/7823900062.html,missing
43,oxo 9 cup drip coffee maker,115,https://charlottesville.craigslist.org/app/d/charlottesville-oxo-cup-drip-coffee/7817765959.html,missing
44,george foreman grilling machine,25,https://charlottesville.craigslist.org/app/d/keswick-george-foreman-grilling-machine/7816152823.html,missing
45,2 washing machines,100,https://charlottesville.craigslist.org/app/d/montpelier-station-washing-machines/7823624958.html,missing
46,brand new lg countertop microwave for sale,50,https://charlottesville.craigslist.org/app/d/barboursville-brand-new-lg-countertop/7823609806.html,missing
47,kenmore refrigerator $50,50,https://charlottesville.craigslist.org/app/d/louisa-kenmore-refrigerator-50/7820815456.html,kenmore
